Bno,Bname,Author,price,publ,qty,d_o_purchase
1,PROSPEROUS BRITISH INDIA,WILLIAM DIGBY C.I.E.,661,LONDON,2,1901
2,HISTORY OF INDIA VOL. II,H.G. KEENE,399,"JOHN GRANT, EDINBURGH",5,1915
3,HISTORY OF INDIAN MUTINY,"COLONEL G.& MALLESON, C.I.E.",575,WILLIAM H. ALLEN AND CO. LONDON,3,1878
4,LETTERS FROM INDIA VOL. I,VICTOR JACKEMONT,409,"EDWARD CHURTON, LONDON",3,1834
5,WILEY SUPPLEMENTARY CATALOG,…,139,"UBS PUBLISHERS' AND DISTRIBUTORS PRIVATE LIMITED, NEW DELHI",4,1968
6,THE IRON FLOOD,A. FERFIMOVICH,366,"FOREIGN LANGUAGE PUBLISHING HOUSE, MOSCOW",2,1911
7,ANGIRA SE AGRA,SATISH CHANDRA CHATURVEDI,160,"CHANDRADITYA PRAKASHAN, AGRA",4,1987
8,"ANALYTICAL INDEX TO SIR JOHN W. KAYESHISTORY OF THE SEPOY WAR, COL.G.B.MALLESON",FREDERIC PINCOTT,,W. H. ALLEN & CO. LONDON,2,1880
9,ROLE OF WOMEN IN THE FREDDOM MOVEMENT 1857-1947,MANMOHAN KAUR,287,STERLING PUBLISHERS PRIVATE LTD. DELHI,4,1968
10,HISTORY OF INDIA I,H.G. KEENE,380,"JOHN GRANT, EDINBURGH",5,1915
11,THE HISTORY OF INDIA VOL. IV,"PROF. JOHN DOWSON, SIR H.M. ELLIOT",563,TRUBNER AND CO. LONDON,1,1872
12,THE HISTORY OF INDIA VOL. II,"PROF. JOHN DOWSON, SIR H.M. ELLIOT",579,TRUBNER AND CO. LONDON,3,1869
13,THE HISTORY OF INDIA V,"PROF. JOHN DOWSON, SIR H.M. ELLIOT",575,TRUBNER AND CO. LONDON,5,1873
14,THE HISTORY OF INDIA VOL. VI,"PROF. JOHN DOWSON, SIR H.M. ELLIOT",574,TRUBNER AND CO. LONDON,5,1875
15,CHAMBAL KE DAAKU,GURU SHARAN,151,"SARWA SEWA SANGH PRAKASHAN, VARANASI",4,1987
16,ALL INDIA SERVICES LAW JOURNAL,,112,BAHRI BROTHERS,2,
17,"LETTERS FROM INDIA, A JOURNEY IN INDIA",VICTOR JACKEMONT,378,LONDON,4,1834
18,THE HISTORY OF HINDOSTAN VOL. I,ALEXANDER DOW,326,…,5,1812
19,UP THE COUNTRY VOL. I,HO. EMILY EDEN,263,"RICHARD BENTLEY, LONDON",4,1866
20,MY DIARY IN INDIA 1858-59,WILLIAM HOWARD RUSSELL,420,"ROUTLEDGE WARNE AND ROUTLEDGE, LONDON",4,1860
21,INDIA AND THE RUSSIAN REVOLUTION,S.G. SARDESAI,106,"COMMUNIST PARTY PUBLICATION, DELHI",5,1967
22,ALL INDIA SERVICES LAW JOURNAL,,224,BAHRI BROTHERS,4,
23,INDIA'S ROLE IN THE U.N,SYED JAFAR RAZA BILGRAM,243,"JAMIA MILIA, NEW DELHI",1,1969
24,"THE HISTORY AND PROSPECTS, BRITISH EDUCATION IN INDIA",F.W. THOMAS,158,…,1,1891
25,DEMAND FOR ENERGY IN NORTH-WEST INDIA,"P.N. DHAR, D.U.SASTRY",135,"ASIA PUBLISHING HOUSE, DELHI",1,1967
26,"REMINISCENCES, SEPOY REBELLION 1857",MISS FLORENCE WAGENTRISIBIR,57,…,3,1910
27,THE PHILOSOPHY OF VALLABHACHARYA,DR. MRIDULA I. MARFATIA,343,"MUNSHIRAM MANOHARLAL ORIENTAL PUBLISHERS & BOOKSELLERS, DELHI",2,1967
28,A HISTORY OF AMERICAN PHILOSOPHY,HERBERT W. SCHNEIDER,590,"MOTILAL BANARSIDASS, DELHI",3,1969
29,INDUSTRIALIZATION IN INDIA,L.P. VIDYARTHI,552,"RESEARCH PROGRAMMES COMMITTEE, NEW DELHI",4,1970
30,INDIA'S WHO'S WHO IN 1969,S. SATYAJIT,417,"INFA PUBLICATIONS, NEW DELHI",1,1969
